Name,Smiles
Cyamemazine,S1c2c(N(c3c1cccc3)CC(CN(C)C)C)cc(cc2)C#N
Demexiptiline,O(N=C1c2c(C=Cc3c1cccc3)cccc2)CCNC
Dimetacrine,N(CCCN1c2c(cccc2)C(c2c1cccc2)(C)C)(C)C
Diosmin,O1c2c(C(=O)C=C1c1cc(O)c(OC)cc1)c(O)cc(O[C@@H]1O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]1O)c2
Ditazole,o1c(c(nc1N(CCO)CCO)-c1ccccc1)-c1ccccc1
Enviomycin,OC/1=N[C@@H]([C@@H]2NC(NCC2)=N)C(O)=NC[C@H](N=C(O)C[C@@H](N)[C@H](O)CCN)C(O)=N[C@@H](CO)C(O)=N[C@@H](CO)C(O)=N\C\1=C/NC(O)=N
Eperisone,O=C(C(CN1CCCCC1)C)c1ccc(cc1)CC
Epirizole,O(C)c1n(nc(c1)C)-c1nc(cc(OC)n1)C
Eprazinone,Cl.Cl.O(C(CN1CCN(CC1)CC(C(=O)c1ccccc1)C)c1ccccc1)CC
Etidocaine,OC(=Nc1c(cccc1C)C)C(N(CCC)CC)CC
Etofenamate,FC(F)(F)c1cc(Nc2ccccc2C(OCCOCCO)=O)ccc1
Etofibrate,Clc1ccc(OC(C(OCCOC(=O)c2cccnc2)=O)(C)C)cc1
Etozoline,S1\C(\N(C)C(=O)C1N1CCCCC1)=C\C(OCC)=O
Fenbufen,OC(=O)CCC(=O)c1ccc(cc1)-c1ccccc1
Fenspiride,O1C2(CCN(CC2)CCc2ccccc2)CN=C1O
Floctafenine,FC(F)(F)c1c2nccc(Nc3ccccc3C(OCC(O)CO)=O)c2ccc1
Flubendazole,Fc1ccc(cc1)C(=O)c1cc2[nH]c(nc2cc1)N=C(OC)O
Fluclorolone acetonide,Cl[C@@]12[C@H]([C@@H]3C[C@H]4OC(O[C@@]4(C(=O)CO)[C@]3(C[C@@H]1Cl)C)(C)C)C[C@H](F)C1=CC(=O)C=C[C@@]12C
Fluocortolone,F[C@@H]1C2=CC(=O)C=C[C@@]2([C@@H]2[C@H]([C@@H]3C[C@@H](C)[C@H](C(=O)CO)[C@]3(C[C@@H]2O)C)C1)C
Fluprednidene Acetate,F[C@@]12[C@H]([C@@H]3CC(=C)[C@](O)(C(=O)CO)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C
Fominoben,Clc1cccc(N=C(O)c2ccccc2)c1CN(CC(=O)N1CCOCC1)C
Dimetotiazine,S1c2c(N(c3c1cccc3)CC(N(C)C)C)cc(S(=O)(=O)N(C)C)cc2.S(O)(=O)(=O)C
Fursultiamine,S(S\C(=C(\N(CC1=CN=C(NC1=N)C)C=O)/C)\CCO)CC1OCCC1
Fusafungine,O1C(C(C)C)C(=O)N(C)[C@@H](C(C)C)C(OC(C(C)C)C(=O)N(C)[C@@H](C(C)C)C(OC(C(C)C)C(=O)N(C)[C@@H](C(C)C)C1=O)=O)=O
Gemeprost,O=C1C[C@@H](O)[C@H](\C=C\[C@@H](O)C(CCCC)(C)C)[C@H]1CCCC\C=C\C(OC)=O
Hexetidine,NC1(CN(CN(C1)CC(CCCC)CC)CC(CCCC)CC)C
Hexoprenaline,Oc1cc(ccc1O)C(O)CNCCCCCCNCC(O)c1cc(O)c(O)cc1
Ifenprodil,Oc1ccc(cc1)C(O)C(N1CCC(CC1)Cc1ccccc1)C
Iopamidol,Ic1c(C(O)=NC(CO)CO)c(I)c(N=C(O)[C@@H](O)C)c(I)c1C(O)=NC(CO)CO
Iopanoic acid,Ic1c(CC(CC)C(O)=O)c(I)cc(I)c1N
Isoaminile,OC(CC(O)=O)(CC(O)=O)C(O)=O.N(C(CC(C(C)C)(C#N)c1ccccc1)C)(C)C
Isoconazole,Clc1cccc(Cl)c1COC(Cn1ccnc1)c1ccc(Cl)cc1Cl
Isoxsuprine,O(CC(NC(C(O)c1ccc(O)cc1)C)C)c1ccccc1
Chlorcyclizine,Clc1ccc(cc1)C(N1CCN(CC1)C)c1ccccc1
Sofosbuvir,P(Oc1ccccc1)(OCC1O[C@@H](N2C=CC(=O)NC2=O)[C@@](F)(C)[C@@H]1O)(=O)N[C@H](C(OC(C)C)=O)C
Luliconazole,Clc1cc(Cl)ccc1C1S\C(\SC1)=C(\n1ccnc1)/C#N
MACITENTAN,Brc1ccc(cc1)-c1c(ncnc1OCCOc1ncc(Br)cn1)NS(=O)(=O)NCCC
Riociguat,Fc1ccccc1Cn1nc(c2cccnc12)-c1nc(N)c(N(C(OC)=O)C)c(n1)N
Dolutegravir,Fc1cc(F)ccc1CNC(=O)C1=CN2C(=C(O)C1=O)C(=O)N1[C@@H](OCC[C@H]1C)C2
Arsthinol,[As]1(SC(CS1)CO)c1cc(NC(=O)C)c(O)cc1
Amfecloral,ClC(Cl)(Cl)\C=N\C(Cc1ccccc1)C
Perospirone,S1N=C(N2CCN(CC2)CCCCN2C(=O)[C@H]3[C@H](CCCC3)C2=O)c2c(C1)cccc2
Levomilnacipran,O=C(N(CC)CC)[C@]1(C[C@H]1CN)c1ccccc1
Afatinib,Clc1cc(Nc2ncnc3c2cc(NC(=O)\C=C\CN(C)C)c(O[C@H]2CCOC2)c3)ccc1F
Radium Ra 223 Dichloride,[Ra](Cl)Cl
Dabrafenib,s1c(c(nc1C(C)(C)C)-c1cccc(NS(=O)(=O)c2c(F)cccc2F)c1F)-c1nc(ncc1)N
Trametinib,Ic1cc(F)c(NC=2N(C)C(=O)C(=C3N(c4cc(NC(=O)C)ccc4)C(=O)N(C4CC4)C(=O)C=23)C)cc1
Pomalidomide,O=C1NC(=O)CCC1N1C(=O)c2c(cccc2N)C1=O
Glycerol Phenylbutyrate,O(C(COC(=O)CCCc1ccccc1)COC(=O)CCCc1ccccc1)C(=O)CCCc1ccccc1
Dimethyl fumarate,O(C(=O)\C=C\C(OC)=O)C
Canagliflozin,s1c(ccc1Cc1cc(ccc1C)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)-c1ccc(F)cc1
Fluticasone furoate,S(C(=O)[C@]1(OC(=O)c2occc2)[C@@]2([C@H]([C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C2)C[C@H]1C)C)CF
Formestane,OC1=C2CC[C@H]3[C@@H]4CCC(=O)[C@]4(CC[C@@H]3[C@]2(CCC1=O)C)C
Bedaquiline,Brc1cc2cc([C@H]([C@@](O)(CCN(C)C)c3c4c(ccc3)cccc4)c3ccccc3)c(OC)nc2cc1
Ponatinib,FC(F)(F)c1cc(NC(=O)c2cc(C#Cc3n4N=CC=Cc4nc3)c(cc2)C)ccc1CN1CCN(CC1)C
Enzalutamide,S=C1N(C(C)(C)C(=O)N1c1cc(C(F)(F)F)c(cc1)C#N)c1cc(F)c(cc1)C(=O)NC
Aclidinium,s1cccc1C(O)(C(O[C@@H]1C2CC[N+](C1)(CC2)CCCOc1ccccc1)=O)c1sccc1
Regorafenib,Clc1ccc(NC(=O)Nc2ccc(Oc3cc(ncc3)C(=O)NC)cc2F)cc1C(F)(F)F
Tofacitinib,O=C(N1C[C@H](N(C)c2ncnc3[nH]ccc23)[C@@H](CC1)C)CC#N
Mirabegron,s1cc(nc1N)CC(=O)Nc1ccc(cc1)CCNC[C@H](O)c1ccccc1
Linaclotide,S1SC[C@@H]2NC(=O)[C@H]3NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](N)C1)CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC2=O)CC(=O)N)C)C(=O)N[C@@H]([C@H](O)C)C(=O)NCC(=O)N[C@@H](CSSC3)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O)CCC(O)=O)Cc1ccc(O)cc1
Carfilzomib,O1C[C@@]1(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CN1CCOCC1)CCc1ccccc1)CC(C)C)Cc1ccccc1)CC(C)C)C
Icosapent ethyl,O(C(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)CC
Gadoxetate,[Gd+3].[Na+].[Na+].O(CC)c1ccc(cc1)CC(N(CC(=O)[O-])CC(=O)[O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]
Linagliptin,O=C1N(Cc2nc(c3c(n2)cccc3)C)C(=O)N(c2nc(n(c12)CC#CC)N1C[C@H](N)CCC1)C
Vemurafenib,Clc1ccc(cc1)-c1cc2c([nH]cc2C(=O)c2c(F)c(NS(=O)(=O)CCC)ccc2F)nc1
Ruxolitinib,[nH]1c2ncnc(c2cc1)-c1cn(nc1)[C@H](CC#N)C1CCCC1
Fidaxomicin,Clc1c(CC)c(C(O[C@H]2[C@H](O)[C@H](OC)[C@@H](O[C@@H]2C)OC\C\2=C/C=C/C[C@H](O)/C(=C/[C@H](CC)[C@@H](O[C@@H]3OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]3O)/C(=C/C(=C/CC(OC/2=O)[C@H](O)C)/C)/C)/C)=O)c(O)c(Cl)c1O
Boceprevir,O=C(NC(CC1CCC1)C(=O)C(=O)N)[C@H]1N(C[C@H]2[C@@H]1C2(C)C)C(=O)[C@@H](NC(=O)NC(C)(C)C)C(C)(C)C
Eribulin,O1[C@@H]2[C@H](CC(=O)CC3O[C@H]4[C@@H](O[C@H]5[C@H]6O[C@]7(O[C@@H]4[C@@H]5O[C@@H]6C7)CC[C@@H]4O[C@@H](CC[C@@H]5O[C@H](C2)C(=C)[C@@H](C5)C)C(C4)=C)CC3)[C@@H](OC)[C@H]1C[C@H](O)CN
Fingolimod,OCC(N)(CCc1ccc(cc1)CCCCCCCC)CO
Ulipristal,O=C1CCC2=C3[C@H]([C@@H]4CC[C@](OC(=O)C)(C(=O)C)[C@]4(C[C@@H]3c3ccc(N(C)C)cc3)C)CCC2=C1
Estradiol valerate/Dienogest,Oc1cc2CC[C@H]3[C@@H]4CC[C@H](OC(=O)CCCC)[C@]4(CC[C@@H]3c2cc1)C.O=C1CCC=2C(=C1)CC[C@H]1[C@@H]3CC[C@@](O)(CC#N)[C@]3(CCC1=2)C
Crizotinib,Clc1c([C@H](Oc2cc(cnc2N)-c2cn(nc2)C2CCNCC2)C)c(Cl)ccc1F
Rilpivirine,n1c(Nc2c(cc(cc2C)\C=C\C#N)C)ccnc1Nc1ccc(cc1)C#N
Pitavastatin,Fc1ccc(cc1)-c1c2c(nc(C3CC3)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)cccc2
Hydroxyproline,O[C@H]1CC(NC1)C(O)=O
Acetylcarnitine,O([C@H](CC(O)=O)C[N+](C)(C)C)C(=O)C
Spaglumic Acid,OC(=O)CC[C@@H](NC(=O)C[C@H](NC(=O)C)C(O)=O)C(O)=O
Tauroursodeoxycholic acid,S(O)(=O)(=O)CCNC(=O)CCC(C)C1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1([C@@H](C[C@H](O)CC1)C[C@@H]3O)C
Vismodegib,Clc1ccc(NC(=O)c2ccc(S(=O)(=O)C)cc2Cl)cc1-c1ncccc1
Lomitapide,FC(F)(F)c1ccc(cc1)-c1ccccc1C(=O)NC1CCN(CC1)CCCCC1(c2c(-c3c1cccc3)cccc2)C(=O)NCC(F)(F)F
Deferiprone,OC=1C(=O)C=CN(C)C=1C
Ioflupane I 123,Ic1ccc(cc1)[C@H]1CC2N(C(CC2)[C@H]1C(OC)=O)CCCF
Spinosad,O1[C@H](CCC[C@H](O[C@@H]2O[C@H](C)[C@@H](N(C)C)CC2)[C@@H](C)C(=O)C=2[C@H]([C@H]3[C@H]([C@H]4[C@@H](C[C@@H](O[C@@H]5C[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]5OC)C4)C=C3)C=2)CC1=O)CC
Azilsartan medoxomil,O1C(COC(=O)c2c3n(Cc4ccc(cc4)-c4ccccc4C=4NC(ON=4)=O)c(OCC)nc3ccc2)=C(OC1=O)C
Ivacaftor,Oc1cc(NC(=O)C2=CNc3c(cccc3)C2=O)c(cc1C(C)(C)C)C(C)(C)C
Tafluprost,FC(F)(\C=C\[C@@H]1[C@@H](C\C=C/CCCC(OC(C)C)=O)[C@@H](O)C[C@H]1O)COc1ccccc1
Hyaluronic acid,O1[C@H](CO)[C@@H](O)C(O[C@@H]2O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](NC(=O)C)[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@@H](O[C@@H]1C(O)=O)OC1[C@@H](NC(=O)C)[C@@H](O[C@H](CO)[C@H]1O)O
Ticagrelor,S(CCC)c1nc(N[C@@H]2C[C@H]2c2cc(F)c(F)cc2)c2nnn(c2n1)[C@@H]1C[C@H](OCCO)[C@@H](O)[C@H]1O
Lurasidone,s1nc(N2CCN(CC2)C[C@@H]2CCCC[C@H]2CN2C(=O)[C@H]3[C@H]([C@@H]4CC[C@H]3C4)C2=O)c2c1cccc2
Tofisopam,O(C)c1cc(ccc1OC)C1=NN=C(C)C(c2c1cc(OC)c(OC)c2)CC
Cinitapride,O(CC)c1cc(N)c([N+](=O)[O-])cc1C(=O)NC1CCN(CC1)CC1CCC=CC1
Bupranolol,Clc1ccc(cc1OCC(O)CNC(C)(C)C)C
Bopindolol,O(CC(OC(=O)c1ccccc1)CNC(C)(C)C)c1c2cc([nH]c2ccc1)C
Roxatidine acetate,O(CCCNC(=O)COC(=O)C)c1cc(ccc1)CN1CCCCC1
Nandrolone decanoate,O=C1CC[C@@H]2[C@@H]3[C@H]([C@@H]4CC[C@H](OC(=O)CCCCCCCCC)[C@]4(CC3)C)CCC2=C1
Tymazoline,O(CC=1NCCN=1)c1cc(ccc1C(C)C)C
Isothipendyl,S1c2c(N(c3ncccc13)CC(N(C)C)C)cccc2
Dimetindene,n1ccccc1C(C)C=1c2c(CC=1CCN(C)C)cccc2
Chloropyramine,Clc1ccc(cc1)CN(CCN(C)C)c1ncccc1
Antazoline,N1CCN=C1CN(Cc1ccccc1)c1ccccc1
Sulfamoxole,S(=O)(=O)(Nc1oc(C)c(n1)C)c1ccc(N)cc1
Salicylamide,Oc1ccccc1C(=O)N
Pipazethate,S1c2c(N(c3ncccc13)C(OCCOCCN1CCCCC1)=O)cccc2
Azidocillin,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)[C@H](N=[N+]=[N-])c1ccccc1
Diloxanide,ClC(Cl)C(=O)N(C)c1ccc(OC(=O)c2occc2)cc1
Triclosan,Clc1cc(Cl)ccc1Oc1ccc(Cl)cc1O
Parecoxib,S(=O)(=O)(NC(=O)CC)c1ccc(cc1)-c1c(noc1C)-c1ccccc1
Tranilast,O(C)c1cc(ccc1OC)\C=C\C(=O)Nc1ccccc1C(O)=O
Viomycin,O=C/1N[C@@H]([C@@H]2NC(N[C@@H](O)C2)=N)C(=O)NC[C@H](NC(=O)C[C@@H](N)CCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N\C\1=C/NC(=O)N
Triptorelin,Oc1ccc(cc1)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]1NC(=O)CC1)Cc1nc[nH]c1)Cc1c2c([nH]c1)cccc2)CO)C(=O)N[C@H](Cc1c2c([nH]c1)cccc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N
Triethylenetetramine,N(CCNCCN)CCN
Tiopronin,SC(C(O)=NCC(O)=O)C
Sulconazole,Clc1cc(Cl)ccc1C(SCc1ccc(Cl)cc1)Cn1ccnc1
Sodium phenylbutyrate,[Na+].O=C([O-])CCCc1ccccc1
Raltegravir,Fc1ccc(cc1)CNC(=O)C=1N=C(N(C)C(=O)C=1O)C(NC(=O)c1oc(nn1)C)(C)C
Pyrvinium,[n+]1(c2c(cc(N(C)C)cc2)ccc1\C=C\c1cc(n(c1C)-c1ccccc1)C)C
Pralatrexate,OC(=O)CC[C@H](NC(=O)c1ccc(cc1)C(Cc1nc2c(nc(nc2N)N)nc1)CC#C)C(O)=O
Polidocanol,O(CCCCCCCCCCCC)CCOCCOCCOCCOCCOCCOCCOCCOCCO
Plicamycin,O1[C@H](C)[C@@H](O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](O)C2)C[C@@H]1Oc1cc2c(c(O)c1C)c(O)c1c(C[C@@H]([C@H](OC)C(=O)[C@@H](O)[C@H](O)C)[C@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O[C@@H]4O[C@H](C)[C@H](O)[C@H](O[C@@H]5O[C@H](C)[C@@H](O)[C@@](O)(C5)C)C4)C3)C1=O)c2
Plerixafor,N1CCCNCCNCCCN(CC1)Cc1ccc(cc1)CN1CCCNCCNCCCNCC1
Nonoxynol-9,O(CCOCCOCCOCCOCCOCCOCCOCCOCCO)c1ccc(cc1)CCCCCCCCC
Niclosamide,Clc1cc([N+](=O)[O-])ccc1NC(=O)c1cc(Cl)ccc1O
Nepafenac,O=C(c1cccc(CC(=O)N)c1N)c1ccccc1
Methylnaltrexone,O1[C@@H]2[C@]34CC[N+]([C@H](Cc5c3c1c(O)cc5)[C@]4(O)CCC2=O)(CC1CC1)C
Hexamethylenetetramine,N12CN3CN(C1)CN(C2)C3
Mangafodipir,[Mn+2].P(OCc1cnc(C)c(O)c1CN(CCN(Cc1c(O)c(ncc1COP(O)(O)=O)C)CC(O)=O)CC(O)=O)(O)(O)=O
Mafenide,S(=O)(=O)(N)c1ccc(cc1)CN
Lodoxamide,Clc1c(NC(=O)C(O)=O)cc(cc1NC(=O)C(O)=O)C#N
Levopropoxyphene,O([C@]([C@@H](CN(C)C)C)(Cc1ccccc1)c1ccccc1)C(=O)CC
Lanthanum carbonate,[La+3].[La+3].O=C([O-])[O-].O=C([O-])[O-].O=C([O-])[O-]
Lanreotide,S1SCC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(N)Cc2cc3c(cc2)cccc3)C1)Cc1ccc(O)cc1)Cc1c2c([nH]c1)cccc2)CCCCN)C(C)C)C(=O)NC(C(O)C)C(=O)N
Hydroxyprogesterone caproate,O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@](OC(=O)CCCCC)(C(=O)C)[C@]4(CC3)C)CCC2=C1)C
Histrelin,OC1=N[C@@H](CC1)C(O)=N[C@@H](Cc1[nH]cnc1)C(O)=N[C@@H](Cc1c2c([nH]c1)cccc2)C(O)=N[C@H](C(O)=N[C@@H](Cc1ccc(O)cc1)C(O)=N[C@H](Cc1ncn(c1)Cc1ccccc1)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(O)=NCC)CO.OC(=O)C.OC(=O)C
Hexocyclium,OC(CN1CC[N+](CC1)(C)C)(C1CCCCC1)c1ccccc1
Halcinonide,ClCC(=O)[C@@]12OC(O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C)(C)C
Ganirelix,Clc1ccc(cc1)C[C@@H](NC(=O)[C@H](NC(=O)C)Cc1cc2c(cc1)cccc2)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCCN=C(NCC)NCC)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN=C(NCC)NCC)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(=O)N)C)CO
Prussian blue,[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe-4](C#N)(C#N)(C#N)(C#N)(C#N)C#N.[Fe-4](C#N)(C#N)(C#N)(C#N)(C#N)C#N.[Fe-4](C#N)(C#N)(C#N)(C#N)(C#N)C#N
Dimercaprol,SC(CO)CS
Difluprednate,F[C@@]12[C@H]([C@@H]3CC[C@](OC(=O)CCC)(C(=O)COC(=O)C)[C@]3(C[C@@H]1O)C)C[C@H](F)C1=CC(=O)C=C[C@@]12C
Chenodeoxycholic acid,O[C@@H]1CC[C@]2([C@@H](C1)C[C@@H](O)[C@H]1[C@@H]3CC[C@H]([C@@H](CCC(O)=O)C)[C@]3(CC[C@@H]12)C)C
Carglumic Acid,OC(=O)CC[C@H](NC(=O)N)C(O)=O
Capsaicin,O(C)c1cc(ccc1O)CNC(=O)CCCC\C=C\C(C)C
Cabazitaxel,O1[C@@H]2C[C@H](OC)[C@@]3([C@H]([C@H](OC(=O)c4ccccc4)[C@]4(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(OC(C)(C)C)=O)c5ccccc5)C(=C([C@@H](OC)C3=O)C4(C)C)C)[C@]2(OC(=O)C)C1)C
Besifloxacin,Clc1c2N(C=C(C(O)=O)C(=O)c2cc(F)c1N1C[C@H](N)CCCC1)C1CC1
Benzyl alcohol,OCc1ccccc1
Bendamustine,ClCCN(CCCl)c1cc2nc(n(c2cc1)C)CCCC(O)=O
Ammonium lactate,OC(C(=O)[O-])C.[NH4+]
Alcaftadine,O=Cc1n2c(nc1)C(c1c(CC2)cccc1)=C1CCN(CC1)C
Tetryzoline,N1CCN=C1C1CCCc2c1cccc2
Glycine betaine,O=C([O-])C[N+](C)(C)C
Drotaverine,O(CC)c1cc(ccc1OCC)\C=C\1/NCCc2cc(OCC)c(OCC)cc/12
Ketobemidone,Oc1cc(ccc1)C1(CCN(CC1)C)C(=O)CC
Gestodene,O=C1CC[C@@H]2[C@@H]3[C@H]([C@@H]4C=C[C@@](O)(C#C)[C@]4(CC3)CC)CCC2=C1
Sulfaphenazole,S(=O)(=O)(Nc1n(ncc1)-c1ccccc1)c1ccc(N)cc1
Lornoxicam,Clc1sc2c(S(=O)(=O)N(C)\C(=C(\O)/Nc3ncccc3)\C2=O)c1
Calcium carbonate,[Ca+2].O=C([O-])[O-]
Aluminum hydroxide,[Al+3].[OH-].[OH-].[OH-]
Stanozolol,OC1(CCC2C3C(CCC12C)C1(C(CC3)Cc2n[nH]cc2C1)C)C
Fosaprepitant,P(O)(O)(=O)N1NC(=NC1=O)CN1CCO[C@H](O[C@H](C)c2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@@H]1c1ccc(F)cc1
Fospropofol,P(OCOc1c(cccc1C(C)C)C(C)C)(O)(O)=O
Potassium Iodide,[I-].[K+]
Propylhexedrine,N(C(CC1CCCCC1)C)C
Norelgestromin,OC1(CCC2C3C(C4C(=CC(=NO)CC4)CC3)CCC12CC)C#C
Nilvadipine,O(C(=O)C=1C(C(C(OC)=O)=C(NC=1C)C#N)c1cc([N+](=O)[O-])ccc1)C(C)C
Naphazoline,N1CCN=C1Cc1c2c(ccc1)cccc2
Methyltestosterone,O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@@](O)(C)[C@]4(CC3)C)CCC2=C1)C
Methacholine,O(C(C[N+](C)(C)C)C)C(=O)C
Lumefantrine,Clc1cc(c-2c(c1)\C(\c1cc(Cl)ccc1-2)=C/c1ccc(Cl)cc1)C(O)CN(CCCC)CCCC
Levonordefrin,Oc1cc(ccc1O)[C@@H](O)[C@@H](N)C
Isometheptene,N(C(CCC=C(C)C)C)C
Gadofosveset trisodium,[Gd+3].P(OC1CCC(CC1)(c1ccccc1)c1ccccc1)(OCC(N(CC(=O)[O-])CC(=O)[O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])(=O)[O-].[Na+].[Na+].[Na+].O
Iobenguane,Ic1cc(ccc1)CN=C(N)N
Gadobutrol,[Gd+3].OC[C@@H](N1CCN(CCN(CCN(CC1)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])[C@H](O)CO
Fesoterodine,O(C(=O)C(C)C)c1ccc(cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1)CO
Dexmethylphenidate,O(C(=O)[C@@H]([C@@H]1NCCCC1)c1ccccc1)C
Desvenlafaxine,OC1(CCCCC1)C(CN(C)C)c1ccc(O)cc1
Degarelix,Clc1ccc(cc1)C[C@@H](NC(=O)[C@H](NC(=O)C)Cc1cc2c(cc1)cccc2)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(NC(=O)[C@@H]2NC(=O)NC(=O)C2)cc1)C(=O)N[C@H](Cc1ccc(NC(=O)N)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCCC1C(=O)N[C@@H](C(=O)N)C)CO
Betahistine,n1ccccc1CCNC
Artemether,O1[C@@H]2O[C@@]3(OO[C@]24[C@@H](CC[C@H]([C@@H]4CC3)C)[C@@H](C)[C@H]1OC)C
Arbekacin,O1[C@H](CO)[C@@H](O)[C@H](N)[C@@H](O)[C@H]1O[C@@H]1[C@@H](O)[C@H](O[C@H]2O[C@@H](CC[C@H]2N)CN)[C@@H](N)C[C@H]1NC(=O)[C@@H](O)CCN
Dabigatran etexilate,O(C(=O)CCN(C(=O)c1cc2nc(n(c2cc1)C)CNc1ccc(cc1)C(=NC(OCCCCCC)=O)N)c1ncccc1)CC
Xylometazoline,N1CCN=C1Cc1c(cc(cc1C)C(C)(C)C)C
Mepyramine,O(C)c1ccc(cc1)CN(CCN(C)C)c1ncccc1
Nitrous oxide,[O-][N+]#N
Ethanolamine Oleate,OC(=O)CCCCCCC\C=C/CCCCCCCC.OCCN
Vilazodone,o1c2c(cc1C(=O)N)cc(N1CCN(CC1)CCCCc1c3cc(ccc3[nH]c1)C#N)cc2
Pasireotide,O(Cc1ccccc1)c1ccc(cc1)C[C@@H]1NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H]2N(C[C@H](OC(=O)NCCN)C2)C(=O)[C@@H](NC1=O)Cc1ccccc1)c1ccccc1)Cc1c2c([nH]c1)cccc2)CCCCN
Dalfampridine,N1C=CC(=N)C=C1
Isavuconazonium,s1cc(nc1[C@@H]([C@](O)(Cn1ncnc1)c1cc(F)ccc1F)C)-c1ccc(cc1)C#N
Flupirtine,Fc1ccc(cc1)CNc1nc(N)c(NC(OCC)=O)cc1
Bosutinib,Clc1cc(Cl)c(OC)cc1Nc1c2cc(OC)c(OCCCN3CCN(CC3)C)cc2ncc1C#N
Peramivir,O[C@H]1[C@@H](C(NC(=O)C)C(CC)CC)[C@H](N=C(N)N)C[C@@H]1C(O)=O
Apixaban,O(C)c1ccc(-n2nc(c3c2C(=O)N(CC3)c2ccc(N3CCCCC3=O)cc2)C(=O)N)cc1
Panobinostat,OC(=NO)\C=C\c1ccc(cc1)CNCCc1c2c([nH]c1C)cccc2
Agomelatine,O(C)c1cc2c(cc1)cccc2CCNC(=O)C
Ceftaroline fosamil,s1cc(nc1SC=1CS[C@H]2N(C=1C(=O)[O-])C(=O)[C@H]2NC(=O)\C(=N\OCC)\c1nc(sn1)NP(O)(O)=O)-c1cc[n+](cc1)C
Pazopanib,S(=O)(=O)(N)c1cc(Nc2nc(N(C)c3cc4nn(C)c(c4cc3)C)ccn2)ccc1C
Prucalopride,Clc1cc(c2OCCc2c1N)C(=O)NC1CCN(CC1)CCCOC
Cangrelor,ClC(Cl)(P(OP(OC[C@H]1O[C@@H](n2c3nc(SCCC(F)(F)F)nc(NCCSC)c3nc2)[C@H](O)[C@@H]1O)(O)=O)(O)=O)P(O)(O)=O
Etravirine,Brc1c(nc(nc1Oc1c(cc(cc1C)C#N)C)Nc1ccc(cc1)C#N)N
