input,output
"{'key': 'ASRDPULQBHFPGU-UHFFFAOYSA-N', 'input': 'CC(=O)c1cccc(NC(=O)NC2CCCCC2CN2CCCC(Cc3ccc(F)cc3)C2)c1', 'text': 'CC(=O)c1cccc(NC(=O)NC2CCCCC2CN2CCCC(Cc3ccc(F)cc3)C2)c1'}",{'outcome': 0.935643553733825}
"{'key': 'KMMAIJQUGOQJIO-UHFFFAOYSA-N', 'input': 'CCNC1CCN(CC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccc(C)o3)n2)C1', 'text': 'CCNC1CCN(CC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccc(C)o3)n2)C1'}",{'outcome': 0.970297038555145}
"{'key': 'XQPLBOPPSBAOCM-UHFFFAOYSA-N', 'input': 'CS(=O)(=O)Nc1ccc(OCC(O)CN(CCc2ccc(Cl)c(Cl)c2)Cc2ccccc2)cc1', 'text': 'CS(=O)(=O)Nc1ccc(OCC(O)CN(CCc2ccc(Cl)c(Cl)c2)Cc2ccccc2)cc1'}",{'outcome': 1.0}
"{'key': 'JWHAUXFOSRPERK-UHFFFAOYSA-N', 'input': 'CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1', 'text': 'CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1'}",{'outcome': 0.9798679947853081}
"{'key': 'ZMIXNTFGXGIDHD-UHFFFAOYSA-N', 'input': 'CCC[S+]([O-])CCC[N+](CC)CC(O)COc1ccc(C#N)cc1', 'text': 'CCC[S+]([O-])CCC[N+](CC)CC(O)COc1ccc(C#N)cc1'}",{'outcome': 0.9521452188491821}
"{'key': 'RTHCYVBBDHJXIQ-UHFFFAOYSA-N', 'input': 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'text': 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1'}",{'outcome': 1.0}
"{'key': 'FNOOCAJCXVWPOF-UHFFFAOYSA-N', 'input': 'N#Cc1ccc(Cn2cncc2C[N+](CCC[NH])C2CCN(Cc3cccc(Cl)c3)C2=O)cc1', 'text': 'N#Cc1ccc(Cn2cncc2C[N+](CCC[NH])C2CCN(Cc3cccc(Cl)c3)C2=O)cc1'}",{'outcome': 0.982673287391662}
"{'key': 'DAUSNPVLXKKGNQ-UHFFFAOYSA-N', 'input': 'Fc1ccc2c(C3CNCCC3F)c(-c3ccc4ccccc4c3)[nH]c2c1', 'text': 'Fc1ccc2c(C3CNCCC3F)c(-c3ccc4ccccc4c3)[nH]c2c1'}",{'outcome': 1.0}
"{'key': 'DAUSNPVLXKKGNQ-UHFFFAOYSA-N', 'input': 'Fc1ccc2c(C3CNCCC3F)c(-c3ccc4ccccc4c3)[nH]c2c1', 'text': 'Fc1ccc2c(C3CNCCC3F)c(-c3ccc4ccccc4c3)[nH]c2c1'}",{'outcome': 1.0}
"{'key': 'RFIKMECJVGIKGU-UHFFFAOYSA-N', 'input': 'Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc(-c6cc(C)on6)cc5CC4)n3C)cccc2n1', 'text': 'Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc(-c6cc(C)on6)cc5CC4)n3C)cccc2n1'}",{'outcome': 1.0}
"{'key': 'AGSWPZXGFSITHZ-UHFFFAOYSA-N', 'input': 'CC1CCCN1CCCOc1ccc(N2CCN(C(=O)c3cc(F)cc(F)c3)CC2=O)cc1', 'text': 'CC1CCCN1CCCOc1ccc(N2CCN(C(=O)c3cc(F)cc(F)c3)CC2=O)cc1'}",{'outcome': 0.520385444164276}
"{'key': 'SLVMESMUVMCQIY-UHFFFAOYSA-N', 'input': 'CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21', 'text': 'CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21'}",{'outcome': 0.907178223133087}
"{'key': 'ZMSOBBRPDJQSNR-UHFFFAOYSA-N', 'input': 'C[N+]1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21', 'text': 'C[N+]1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21'}",{'outcome': 0.8527227640151971}
"{'key': 'MREBEPTUUMTTIA-UHFFFAOYSA-N', 'input': 'CN1CCN(CCCCN2C(=O)CN(N=Cc3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1', 'text': 'CN1CCN(CCCCN2C(=O)CN(N=Cc3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1'}",{'outcome': 0.939768970012664}
"{'key': 'LDVRAJSZIPKJHL-UHFFFAOYSA-N', 'input': 'CC(C(=O)NC1(c2ccccc2)CCC(N2CCC3(CCOC3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1', 'text': 'CC(C(=O)NC1(c2ccccc2)CCC(N2CCC3(CCOC3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1'}",{'outcome': 1.0}
"{'key': 'FJQPCZJPOCTEEK-UHFFFAOYSA-N', 'input': 'Cc1cc(C)n(-c2cc(NC(=O)CN3CCC(N(C)C)C3)nc(-c3ccc(C)o3)n2)n1', 'text': 'Cc1cc(C)n(-c2cc(NC(=O)CN3CCC(N(C)C)C3)nc(-c3ccc(C)o3)n2)n1'}",{'outcome': 0.9900990128517151}
"{'key': 'AZJYWGPAABBHMB-UHFFFAOYSA-N', 'input': 'CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cnccn3)CC2)C1', 'text': 'CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cnccn3)CC2)C1'}",{'outcome': 0.9673267602920531}
"{'key': 'LOUPRKONTZGTKE-UHFFFAOYSA-N', 'input': 'C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12', 'text': 'C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12'}",{'outcome': 0.9603960514068601}
"{'key': 'QMEYMCGPEYQIJC-UHFFFAOYSA-N', 'input': '[NH]CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12', 'text': '[NH]CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12'}",{'outcome': 0.8457095623016351}
"{'key': 'ADEIAEFCLQCOPY-UHFFFAOYSA-N', 'input': 'CC(=O)c1cccc(-c2cccc(-n3cc(C(=O)Nc4c(Cl)cncc4Cl)c(=O)c4cccnc43)c2)c1', 'text': 'CC(=O)c1cccc(-c2cccc(-n3cc(C(=O)Nc4c(Cl)cncc4Cl)c(=O)c4cccnc43)c2)c1'}",{'outcome': 0.9306930899620051}
"{'key': 'GEFDXUZHLNJUMR-UHFFFAOYSA-N', 'input': 'CS(=O)(=O)Nc1ccc(OCC(O)CNCCc2ccc(Cl)c(Cl)c2)cc1', 'text': 'CS(=O)(=O)Nc1ccc(OCC(O)CNCCc2ccc(Cl)c(Cl)c2)cc1'}",{'outcome': 0.9900990128517151}
"{'key': 'BFMVLFRBLSHGFU-UHFFFAOYSA-N', 'input': 'COc1ccc(C(O)CC2c3cc(OC)c(OC)cc3CCN2C)cc1', 'text': 'COc1ccc(C(O)CC2c3cc(OC)c(OC)cc3CCN2C)cc1'}",{'outcome': 0.9059405922889711}
"{'key': 'NKANXQFJJICGDU-UHFFFAOYSA-N', 'input': 'CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1', 'text': 'CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1'}",{'outcome': 0.935643553733825}
"{'key': 'GCGKFTIWTCUWFE-UHFFFAOYSA-N', 'input': 'CS(=O)(=O)Nc1ccc(OCC(O)CN(CCc2ccc(Cl)c(Cl)c2)Cc2cccc(O)c2)cc1', 'text': 'CS(=O)(=O)Nc1ccc(OCC(O)CN(CCc2ccc(Cl)c(Cl)c2)Cc2cccc(O)c2)cc1'}",{'outcome': 0.98514848947525}
"{'key': 'PXLGTQTYMBVHFH-UHFFFAOYSA-N', 'input': 'Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc(-c6ncc(C)o6)cc5CC4)n3C)cccc2n1', 'text': 'Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc(-c6ncc(C)o6)cc5CC4)n3C)cccc2n1'}",{'outcome': 1.0}
"{'key': 'NZPLLWYDJFVQEH-UHFFFAOYSA-N', 'input': 'Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6oc(-c7cc(C)nn7C)nc6c5CC4)n3C)cccc2n1', 'text': 'Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6oc(-c7cc(C)nn7C)nc6c5CC4)n3C)cccc2n1'}",{'outcome': 0.949669957160949}
"{'key': 'KHTUQDQSUXMHQA-UHFFFAOYSA-N', 'input': 'Cc1cc(-c2nc3c4c(ccc3o2)CCN(CCCSc2nnc(-c3ocnc3C)n2C)CC4)n(C)n1', 'text': 'Cc1cc(-c2nc3c4c(ccc3o2)CCN(CCCSc2nnc(-c3ocnc3C)n2C)CC4)n(C)n1'}",{'outcome': 0.8556105494499201}
"{'key': 'ANNTYLPRTLHHJC-UHFFFAOYSA-N', 'input': 'O=C1C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCCN1C1(c2ccccc2)CCC(N2CCC3(CCOC3)CC2)CC1', 'text': 'O=C1C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCCN1C1(c2ccccc2)CCC(N2CCC3(CCOC3)CC2)CC1'}",{'outcome': 0.995049476623535}
"{'key': 'FELGMEQIXOGIFQ-UHFFFAOYSA-N', 'input': 'Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O', 'text': 'Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O'}",{'outcome': 0.9306930899620051}
"{'key': 'PVNKTEVKLYEYIV-UHFFFAOYSA-N', 'input': 'CS(=O)(=O)Nc1ccc(OCC(O)CN(CCc2ccc(Cl)c(Cl)c2)Cc2ccccc2O)cc1', 'text': 'CS(=O)(=O)Nc1ccc(OCC(O)CN(CCc2ccc(Cl)c(Cl)c2)Cc2ccccc2O)cc1'}",{'outcome': 0.98514848947525}
"{'key': 'YIQYJBKGDDWABP-UHFFFAOYSA-N', 'input': 'CC(C)(O)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cncnc3)CC2)C1', 'text': 'CC(C)(O)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cncnc3)CC2)C1'}",{'outcome': 0.8415841460227961}
"{'key': 'BCERHNLMUQCEJQ-UHFFFAOYSA-N', 'input': 'NC(CC(=O)N1CCCC1C(=O)NCc1ccc(C(F)(F)F)cc1)Cc1ccccc1F', 'text': 'NC(CC(=O)N1CCCC1C(=O)NCc1ccc(C(F)(F)F)cc1)Cc1ccccc1F'}",{'outcome': 0.9105610847473141}
"{'key': 'WSWLUEDPQUZWSK-UHFFFAOYSA-N', 'input': 'O=C(Nc1ccccc1)c1[nH]c2cc(F)ccc2c1C1CNCCC1F', 'text': 'O=C(Nc1ccccc1)c1[nH]c2cc(F)ccc2c1C1CNCCC1F'}",{'outcome': 0.9422442317008971}
"{'key': 'DDHVVNWORMJVLB-UHFFFAOYSA-N', 'input': 'Fc1ccc2c(C3CNCCC3F)c(C3CCCCCC3)[nH]c2c1', 'text': 'Fc1ccc2c(C3CNCCC3F)c(C3CCCCCC3)[nH]c2c1'}",{'outcome': 0.9752475023269651}
"{'key': 'WSWLUEDPQUZWSK-UHFFFAOYSA-N', 'input': 'O=C(Nc1ccccc1)c1[nH]c2cc(F)ccc2c1C1CNCCC1F', 'text': 'O=C(Nc1ccccc1)c1[nH]c2cc(F)ccc2c1C1CNCCC1F'}",{'outcome': 0.9422442317008971}
"{'key': 'RZCZKNPTZMHVSH-UHFFFAOYSA-N', 'input': 'CC(=O)C1=NN2c3cc(F)ccc3OCC2C1(CCCN)c1ccccc1', 'text': 'CC(=O)C1=NN2c3cc(F)ccc3OCC2C1(CCCN)c1ccccc1'}",{'outcome': 0.8366336822509761}
"{'key': 'WCNNBKIYWOWYQW-UHFFFAOYSA-N', 'input': 'COC1(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCN(C2(c3ccccc3)CCC(N3CCC4(CCOC4)CC3)CC2)C1=O', 'text': 'COC1(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCN(C2(c3ccccc3)CCC(N3CCC4(CCOC4)CC3)CC2)C1=O'}",{'outcome': 0.98514848947525}
"{'key': 'WDABUKHQRJDQAX-UHFFFAOYSA-N', 'input': 'CN(C)C1CCC(c2ccccc2)(N2CCC(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2=O)CC1', 'text': 'CN(C)C1CCC(c2ccccc2)(N2CCC(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2=O)CC1'}",{'outcome': 0.9752475023269651}
"{'key': 'SSEQSOKGNDFROE-UHFFFAOYSA-N', 'input': 'CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCC[N+](CC)CC)c(I)c1', 'text': 'CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCC[N+](CC)CC)c(I)c1'}",{'outcome': 0.9059405922889711}
"{'key': 'OLUONKODHNDKJM-UHFFFAOYSA-N', 'input': 'CCn1nc(Cc2ccc(C#N)cc2)cc1C1CCN(CC2CN(C(C(=O)O)C(C)(C)C)CC2c2cccc(F)c2)CC1', 'text': 'CCn1nc(Cc2ccc(C#N)cc2)cc1C1CCN(CC2CN(C(C(=O)O)C(C)(C)C)CC2c2cccc(F)c2)CC1'}",{'outcome': 0.9405940771102901}
"{'key': 'CJDRUOGAGYHKKD-UHFFFAOYSA-N', 'input': 'CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O', 'text': 'CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O'}",{'outcome': 0.9009901285171501}
"{'key': 'CJDRUOGAGYHKKD-UHFFFAOYSA-N', 'input': 'CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O', 'text': 'CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O'}",{'outcome': 0.9009901285171501}
"{'key': 'NFGNMJPMZYHRDW-UHFFFAOYSA-N', 'input': 'CC(C(O)c1ccc2c(c1)CCC(=O)N2)N1CCC(O)(c2ccc(Cl)cc2)CC1', 'text': 'CC(C(O)c1ccc2c(c1)CCC(=O)N2)N1CCC(O)(c2ccc(Cl)cc2)CC1'}",{'outcome': 0.995049476623535}
"{'key': 'UAAYMUFGVDVSAW-UHFFFAOYSA-N', 'input': 'Cc1cc(C)n(-c2cc(NC(=O)CN3CCC(CN(C)C)C3)nc(-c3ccc(C)o3)n2)n1', 'text': 'Cc1cc(C)n(-c2cc(NC(=O)CN3CCC(CN(C)C)C3)nc(-c3ccc(C)o3)n2)n1'}",{'outcome': 0.995049476623535}
"{'key': 'DNZPRATYNIWQSM-UHFFFAOYSA-N', 'input': 'C=CC1CN2CCC1CC2C(C)(O)c1ccnc2ccc(OC)cc12', 'text': 'C=CC1CN2CCC1CC2C(C)(O)c1ccnc2ccc(OC)cc12'}",{'outcome': 0.8787128925323481}
"{'key': 'QAMSRCBRYCCTDQ-UHFFFAOYSA-N', 'input': 'FC1CCNCC1c1c(-c2ccccc2)[nH]c2ccccc12', 'text': 'FC1CCNCC1c1c(-c2ccccc2)[nH]c2ccccc12'}",{'outcome': 1.0}
"{'key': 'IQPFJRBMUWFJBI-UHFFFAOYSA-N', 'input': 'N#Cc1ccc(Cn2cncc2C[N+](CC[N+]2CCNCC2)C2CCN(Cc3cccc(Cl)c3)C2=O)cc1', 'text': 'N#Cc1ccc(Cn2cncc2C[N+](CC[N+]2CCNCC2)C2CCN(Cc3cccc(Cl)c3)C2=O)cc1'}",{'outcome': 0.9504950642585751}
"{'key': 'HXTGXYRHXAGCFP-UHFFFAOYSA-N', 'input': 'COc1cccc(C(O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC', 'text': 'COc1cccc(C(O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC'}",{'outcome': 0.94554454088211}
"{'key': 'BFIKQYQPKFNDJQ-UHFFFAOYSA-N', 'input': 'CC(c1ccc(-c2ccc(F)cc2)cc1)C(N)C(=O)N1CCC(F)C1', 'text': 'CC(c1ccc(-c2ccc(F)cc2)cc1)C(N)C(=O)N1CCC(F)C1'}",{'outcome': 0.8910890817642211}
"{'key': 'QAMSRCBRYCCTDQ-UHFFFAOYSA-N', 'input': 'FC1CCNCC1c1c(-c2ccccc2)[nH]c2ccccc12', 'text': 'FC1CCNCC1c1c(-c2ccccc2)[nH]c2ccccc12'}",{'outcome': 1.0}
"{'key': 'JPKSISIJPSXDLA-UHFFFAOYSA-N', 'input': 'CN1CCN(Cc2ccc3c(c2)Cc2c(-c4csc(C#CCOc5ccccc5)c4)n[nH]c2-3)CC1', 'text': 'CN1CCN(Cc2ccc3c(c2)Cc2c(-c4csc(C#CCOc5ccccc5)c4)n[nH]c2-3)CC1'}",{'outcome': 0.9603960514068601}
"{'key': 'MNZDOBBBEUPYAL-UHFFFAOYSA-N', 'input': 'CC(O)(c1ccccc1)C1C=CC(C(c2cc[n+](O)cc2)c2ccc(OC(F)F)c(OC(F)F)c2)=CN1', 'text': 'CC(O)(c1ccccc1)C1C=CC(C(c2cc[n+](O)cc2)c2ccc(OC(F)F)c(OC(F)F)c2)=CN1'}",{'outcome': 0.7425742745399471}
"{'key': 'NMPOSNRHZIWLLL-UHFFFAOYSA-N', 'input': 'CCOC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C', 'text': 'CCOC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C'}",{'outcome': 0.970297038555145}
"{'key': 'YEPCEIRFLLOWNI-UHFFFAOYSA-N', 'input': 'CN(C)C(=O)C(c1ccc(-c2ccc(F)cc2)cc1)C(N)C(=O)N1CCCC1', 'text': 'CN(C)C(=O)C(c1ccc(-c2ccc(F)cc2)cc1)C(N)C(=O)N1CCCC1'}",{'outcome': 0.7920792102813721}
"{'key': 'ZQSDLUMGBYOLJF-UHFFFAOYSA-N', 'input': 'CN1CCC(N(C)C(=O)N2CC(c3cc(F)ccc3F)=CC2c2ccccc2)CC1', 'text': 'CN1CCC(N(C)C(=O)N2CC(c3cc(F)ccc3F)=CC2c2ccccc2)CC1'}",{'outcome': 0.8861386179924011}
"{'key': 'REAHNDOSRQJMDW-UHFFFAOYSA-N', 'input': 'CS(=O)(=O)Nc1ccc(OCC(O)CN(CCc2ccc(Cl)c(Cl)c2)Cc2ccccc2F)cc1', 'text': 'CS(=O)(=O)Nc1ccc(OCC(O)CN(CCc2ccc(Cl)c(Cl)c2)Cc2ccccc2F)cc1'}",{'outcome': 0.9900990128517151}
"{'key': 'NMPOSNRHZIWLLL-UHFFFAOYSA-N', 'input': 'CCOC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C', 'text': 'CCOC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C'}",{'outcome': 0.970297038555145}
"{'key': 'HSTMYWDURDPUMY-UHFFFAOYSA-N', 'input': 'N#Cc1c(Cl)cccc1OCC(O)CN1CCCC1Cc1ccccc1', 'text': 'N#Cc1c(Cl)cccc1OCC(O)CN1CCCC1Cc1ccccc1'}",{'outcome': 0.9257425665855401}
"{'key': 'VMCOPKACEUYYIT-UHFFFAOYSA-N', 'input': 'Fc1ccc(-c2[nH]c3cc(F)ccc3c2C2CCCNC2)cc1', 'text': 'Fc1ccc(-c2[nH]c3cc(F)ccc3c2C2CCCNC2)cc1'}",{'outcome': 0.995049476623535}
"{'key': 'NKLVBHMAIMEVEH-UHFFFAOYSA-N', 'input': 'CN(C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1)C1CCNCC1', 'text': 'CN(C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1)C1CCNCC1'}",{'outcome': 0.8910890817642211}
"{'key': 'QRNZXNUHQIYSQV-UHFFFAOYSA-N', 'input': 'CN(CCCN)C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1', 'text': 'CN(CCCN)C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1'}",{'outcome': 0.890594065189361}
"{'key': 'JTGDXZKJMAMXST-UHFFFAOYSA-N', 'input': 'Cc1oc(-c2ccc(Cl)cc2)nc1CCOc1cccc(CC2C(=O)N(c3ccc(C(C)(C)C)cc3)C2C(=O)O)c1', 'text': 'Cc1oc(-c2ccc(Cl)cc2)nc1CCOc1cccc(CC2C(=O)N(c3ccc(C(C)(C)C)cc3)C2C(=O)O)c1'}",{'outcome': 0.9306930899620051}
"{'key': 'VMIBLDKZGHZFMI-UHFFFAOYSA-N', 'input': 'CS(=O)(=O)Nc1ccc(OCC(O)CNCCc2ccc(Cl)cc2)cc1', 'text': 'CS(=O)(=O)Nc1ccc(OCC(O)CNCCc2ccc(Cl)cc2)cc1'}",{'outcome': 0.978547871112823}
"{'key': 'KVZUKTSYJONTHS-UHFFFAOYSA-N', 'input': 'FC1CCNCC1c1c(-c2ccccc2)[nH]c2cc(Cl)ccc12', 'text': 'FC1CCNCC1c1c(-c2ccccc2)[nH]c2cc(Cl)ccc12'}",{'outcome': 1.0}
"{'key': 'KVZUKTSYJONTHS-UHFFFAOYSA-N', 'input': 'FC1CCNCC1c1c(-c2ccccc2)[nH]c2cc(Cl)ccc12', 'text': 'FC1CCNCC1c1c(-c2ccccc2)[nH]c2cc(Cl)ccc12'}",{'outcome': 1.0}
"{'key': 'MMAYPVADBNWURJ-UHFFFAOYSA-N', 'input': 'O=C1NCC(c2ccccc2)C12CCN(C1CCCCC1c1ccccc1)CC2', 'text': 'O=C1NCC(c2ccccc2)C12CCN(C1CCCCC1c1ccccc1)CC2'}",{'outcome': 0.9653465151786801}
"{'key': 'YDFGWCGWYBPBRC-UHFFFAOYSA-N', 'input': 'CC(OC1CCn2ccnc2CC1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1', 'text': 'CC(OC1CCn2ccnc2CC1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1'}",{'outcome': 0.9603960514068601}
"{'key': 'JCJWFLPZJBEMKB-UHFFFAOYSA-N', 'input': 'CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cncnc3)CC2)C1', 'text': 'CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cncnc3)CC2)C1'}",{'outcome': 0.9752475023269651}
"{'key': 'HBNPJJILLOYFJU-UHFFFAOYSA-N', 'input': 'COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C', 'text': 'COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C'}",{'outcome': 0.9884488582611081}
"{'key': 'HBNPJJILLOYFJU-UHFFFAOYSA-N', 'input': 'COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C', 'text': 'COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C'}",{'outcome': 0.9884488582611081}
"{'key': 'GVERGJNQZKUDON-UHFFFAOYSA-N', 'input': 'Fc1ccc2c(C3CNCCC3F)c(-c3ccsc3)[nH]c2c1', 'text': 'Fc1ccc2c(C3CNCCC3F)c(-c3ccsc3)[nH]c2c1'}",{'outcome': 0.995049476623535}
"{'key': 'DMAQQUULTGXWQK-UHFFFAOYSA-N', 'input': 'OC1c2ccc(OCc3ccccc3-c3ccccc3)cc2CCC1CCN1CCC(c2ccccc2)CC1', 'text': 'OC1c2ccc(OCc3ccccc3-c3ccccc3)cc2CCC1CCN1CCC(c2ccccc2)CC1'}",{'outcome': 0.9059405922889711}
"{'key': 'OLJQAUHETSJHHJ-UHFFFAOYSA-N', 'input': 'NC(C(=O)N1CCC(F)C1)C(C(=O)N1CCCC1)c1ccc(-c2ccc(F)cc2)cc1', 'text': 'NC(C(=O)N1CCC(F)C1)C(C(=O)N1CCCC1)c1ccc(-c2ccc(F)cc2)cc1'}",{'outcome': 0.534653484821319}
"{'key': 'GVERGJNQZKUDON-UHFFFAOYSA-N', 'input': 'Fc1ccc2c(C3CNCCC3F)c(-c3ccsc3)[nH]c2c1', 'text': 'Fc1ccc2c(C3CNCCC3F)c(-c3ccsc3)[nH]c2c1'}",{'outcome': 0.995049476623535}
"{'key': 'SGSKDJMEPQTYQW-UHFFFAOYSA-N', 'input': 'CC(C)(C)C(N)C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1', 'text': 'CC(C)(C)C(N)C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1'}",{'outcome': 0.995049476623535}
"{'key': 'RTHCYVBBDHJXIQ-UHFFFAOYSA-N', 'input': 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'text': 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1'}",{'outcome': 1.0}
"{'key': 'CKMHNXQNOFEKDS-UHFFFAOYSA-N', 'input': 'CCC(=C(c1ccccc1)c1ccc(OCC[N+](C)C)cc1)c1ccccc1', 'text': 'CCC(=C(c1ccccc1)c1ccc(OCC[N+](C)C)cc1)c1ccccc1'}",{'outcome': 0.9686468839645381}
"{'key': 'CUWYXEKZVGDQDJ-UHFFFAOYSA-N', 'input': 'COc1ccc2nccc(C3CN(C4CCN(Cc5cc6ccccc6[nH]5)CC4)C(=O)O3)c2c1', 'text': 'COc1ccc2nccc(C3CN(C4CCN(Cc5cc6ccccc6[nH]5)CC4)C(=O)O3)c2c1'}",{'outcome': 0.896039605140686}
"{'key': 'HXEXYULSUCMWPN-UHFFFAOYSA-N', 'input': 'Fc1ccc(-c2[nH]c3cc(F)ccc3c2C2CNCCC2F)cc1', 'text': 'Fc1ccc(-c2[nH]c3cc(F)ccc3c2C2CNCCC2F)cc1'}",{'outcome': 1.0}
"{'key': 'HXEXYULSUCMWPN-UHFFFAOYSA-N', 'input': 'Fc1ccc(-c2[nH]c3cc(F)ccc3c2C2CNCCC2F)cc1', 'text': 'Fc1ccc(-c2[nH]c3cc(F)ccc3c2C2CNCCC2F)cc1'}",{'outcome': 1.0}
"{'key': 'KMTMWUFYNBUHOB-UHFFFAOYSA-N', 'input': 'CC(C(O)c1ccc2c(c1)OCC(=O)N2)N1CCC(O)(c2ccc(F)cc2)CC1', 'text': 'CC(C(O)c1ccc2c(c1)OCC(=O)N2)N1CCC(O)(c2ccc(F)cc2)CC1'}",{'outcome': 0.9801980257034301}
"{'key': 'MKOGVIYZVVVIRD-UHFFFAOYSA-N', 'input': 'CS(=O)(=O)Nc1ccc(OCC(O)CNCCc2ccc(F)c(F)c2)cc1', 'text': 'CS(=O)(=O)Nc1ccc(OCC(O)CNCCc2ccc(F)c(F)c2)cc1'}",{'outcome': 0.9653465151786801}
"{'key': 'SVZCHDXRIPMIIX-UHFFFAOYSA-N', 'input': 'CS(=O)(=O)Nc1ccc(OCC(O)CN(CCc2ccc(Cl)c(Cl)c2)Cc2ccc(F)c(F)c2F)cc1', 'text': 'CS(=O)(=O)Nc1ccc(OCC(O)CN(CCc2ccc(Cl)c(Cl)c2)Cc2ccc(F)c(F)c2F)cc1'}",{'outcome': 0.9801980257034301}
